Video,Error_RGB,Error_HSV,Error_Gray,Error_RGB_Blurred,Error_HSV_Blurred,Error_Gray_Blurred,pSNR_RGB,pSNR_HSV,pSNR_Gray,pSNR_RGB_Blurred,pSNR_HSV_Blurred,pSNR_Gray_Blurred
sub_3D.mov,7.4803586,7.750752,7.4700027,7.2195263,7.4936447,7.2072916,32.03734543894008,26.557688534077656,31.78768059923702,30.28144558735586,28.045500302663726,30.226744648487312
sub_3S.mov,7.186886,6.856024,7.1851997,6.904909,6.5932255,6.899229,35.309575505952026,29.32504312534537,34.83406010697373,32.144482149389574,30.6850275014807,32.07938714419618
sub_2D.mov,6.3202615,6.0694704,6.3466,6.0342,5.7877607,6.058882,35.96243887590441,27.239741568256193,35.52491590374871,32.475303343906575,29.323881760860395,32.45720610715799
sub_2S.mov,6.1512623,5.8609877,6.191458,5.8376837,5.5501413,5.8765144,31.67154156627147,26.477397132147935,31.57451512837102,29.972716700187448,28.06551872512302,30.02515621406561
sub_10D.mov,9.3507,7.6772394,9.154327,9.096078,7.435667,8.896818,33.20146794141719,28.094943043490996,33.043956743672986,30.987222226982798,29.755559286227573,31.03268102158183
sub_10S.mov,7.8998837,7.2257905,7.804096,7.6375766,6.9598594,7.5387087,34.36280587261088,27.22071541965601,34.05596858771598,31.861799402588264,29.1123448129081,31.84494528142593
sub_5D.mov,9.084631,8.312472,8.861559,8.805142,8.044756,8.579054,32.74007370352381,27.355760112352584,32.73913867986054,30.62813216042255,28.650351804577138,30.76370866108618
sub_5S.mov,7.645583,6.980586,7.601083,7.379489,6.713219,7.3324428,33.02112877780483,27.422704037398272,32.8244217193464,30.99233888210521,28.905121058800418,31.001366139382416
sub_9D.mov,6.906122,6.4444265,6.85387,6.6599436,6.1896205,6.604834,32.43316532180538,27.51245216924845,32.29512729269697,30.668577827144095,28.794644966403137,30.705033812965844
sub_9S.mov,7.977057,8.160667,8.170056,7.6960506,7.892752,7.885369,19.51816503409646,20.170041459025132,19.51902309740246,19.478431222255526,20.637606534057625,19.492418962800848
sub_8D.mov,9.5252285,7.8281145,9.365756,9.274364,7.5810485,9.11094,34.5285259587813,27.50743314973189,34.193441181262195,31.93679363589817,29.3217048584172,31.893170976173643
sub_8S.mov,9.555577,7.7394967,9.343,9.293901,7.4934397,9.076494,36.30178129672909,28.014594801431706,35.93495025812169,32.771391703855855,29.296316001591222,32.81282747779608
sub_16S.mov,9.032536,8.153659,8.973763,8.744946,7.88147,8.683131,32.16067202168783,28.483245860895735,31.91066300616001,30.611660275068097,29.80589852121817,30.564941334290964
sub_4D.mov,5.521504,6.986663,5.7251887,5.259169,6.732517,5.460736,35.28191444443377,28.85013794863987,34.7855663163362,32.39875898700214,30.267956527492895,32.30799960191048
sub_4S.mov,5.863183,6.7424006,6.019476,5.5689163,6.4733987,5.7230687,33.44631801065986,29.11830202477004,33.06157657516995,31.11207519054444,29.983907269707217,31.023289489637953
